City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hawaiian paradise park,19.5933,-154.9731,18.91,99,90,1.35,US,1712502119
83,rechka-vydrino,51.485,104.8461,-1.49,92,90,2.46,RU,1712502119
84,santana,-0.0583,-51.1817,32.1,62,40,4.63,BR,1712502119
85,tazovsky,67.4667,78.7,-5.63,84,100,10.44,RU,1712501968
86,yellowknife,62.456,-114.3525,0.79,93,75,5.66,CA,1712501961
87,anadyr,64.75,177.4833,-22.72,76,0,4.0,RU,1712502120
88,tyukhtet,56.5389,89.3011,-6.86,86,40,2.93,RU,1712502120
89,luau,-10.7073,22.2247,21.6,86,99,1.34,AO,1712502120
90,novokuybyshevsk,53.0959,49.9462,4.1,82,100,2.64,RU,1712502121
91,mount isa,-20.7333,139.5,18.87,59,57,3.6,AU,1712502071
92,tamanrasset,22.785,5.5228,30.95,8,0,8.23,DZ,1712502085
93,bonga,7.2833,36.2333,23.0,66,87,0.25,ET,1712502121
94,chibougamau,49.9168,-74.3659,5.79,42,0,1.54,CA,1712501970
95,port lincoln,-34.7333,135.8667,14.39,69,38,2.38,AU,1712501966
96,shalqar,47.8333,59.6,15.85,40,95,6.38,KZ,1712502122
97,porto novo,6.4965,2.6036,33.9,58,97,5.57,BJ,1712502033
98,batesville,35.7698,-91.641,18.93,72,100,4.63,US,1712502062
99,saipan,15.1355,145.701,27.39,78,40,7.2,MP,1712501994
100,lihue,21.9789,-159.3672,21.58,86,100,8.23,US,1712501965
101,kirensk,57.7853,108.1119,-5.58,96,71,1.34,RU,1712502123
102,as sulaymaniyah,35.5611,45.4375,20.24,60,100,3.09,IQ,1712502123
103,tucuma,-0.1833,-50.05,29.13,68,98,2.99,BR,1712502093
104,sinabang,2.4803,96.3801,27.15,84,100,1.49,ID,1712502124
105,valky,49.8387,35.6207,17.57,54,98,2.14,UA,1712502124
106,llaillay,-32.85,-70.9667,27.92,24,0,1.16,CL,1712501683
107,hermanus,-34.4187,19.2345,16.56,84,100,13.53,ZA,1712502012
108,east london,-33.0153,27.9116,18.52,100,100,5.66,ZA,1712502125
109,almeirim,-1.5233,-52.5817,30.68,58,100,2.42,BR,1712502078
110,cobija,-11.0267,-68.7692,28.1,89,75,2.57,BO,1712502125
111,holzkirchen,47.8766,11.7018,25.93,32,100,2.05,DE,1712502126
112,lebu,-37.6167,-73.65,15.43,69,100,4.05,CL,1712502095
113,san juan,-31.5375,-68.5364,26.97,47,0,3.75,AR,1712501950
114,constitucion,-35.3333,-72.4167,18.72,54,61,3.6,CL,1712502058
115,chonchi,-42.6128,-73.8092,10.62,96,100,0.53,CL,1712502101
116,guerrero negro,27.9769,-114.0611,16.06,46,2,4.88,MX,1712501986
117,nizhniy kuranakh,58.8353,125.4869,-13.47,98,100,1.32,RU,1712502127
118,haiku-pauwela,20.9219,-156.3051,20.58,85,0,6.26,US,1712501975
119,zhuanghe,39.7008,122.9911,9.1,72,90,1.92,CN,1712502128
120,fisterra,42.9049,-9.2629,15.97,80,92,8.16,ES,1712502128
121,grytviken,-54.2811,-36.5092,5.51,97,100,7.04,GS,1712502128
122,tura,25.5198,90.2201,27.66,48,100,3.47,IN,1712502129
123,nova sintra,14.8667,-24.7167,22.93,78,1,10.54,CV,1712502129
124,whitehorse,60.7161,-135.0538,-4.57,74,75,5.66,CA,1712501984
125,sao francisco,-15.9486,-44.8644,31.11,44,17,2.88,BR,1712501978
126,copala,16.65,-98.9833,28.67,46,0,0.83,MX,1712502129
127,sanctuary point,-35.1114,150.629,19.07,86,10,3.04,AU,1712502130
128,vilyuchinsk,52.9306,158.4028,1.07,73,94,3.03,RU,1712501979
129,betio village,1.358,172.9211,29.02,82,39,7.76,KI,1712502130
130,petoskey,45.3733,-84.9553,11.17,46,0,3.6,US,1712502130
131,brejo santo,-7.4933,-38.9872,30.13,39,67,1.44,BR,1712502026
132,bel ombre,-4.6167,55.4167,27.91,89,40,4.12,SC,1712502094
133,mikashevichy,52.2173,27.476,16.01,58,99,2.5,BY,1712502131
134,callao,-12.0667,-77.15,23.16,83,75,2.06,PE,1712502131
135,papatowai,-46.5619,169.4708,8.93,96,100,2.86,NZ,1712501966
136,manfalut,27.3104,30.97,27.14,14,0,8.56,EG,1712502131
137,cockburn town,21.4612,-71.1419,24.85,79,44,5.05,TC,1712502132
138,carnarvon,-24.8667,113.6333,24.09,74,0,9.83,AU,1712502132
139,lepsy,46.235,78.9456,14.83,50,95,4.48,KZ,1712502132
140,kalmunai,7.4167,81.8167,28.34,77,49,4.14,LK,1712502132
141,uturoa,-16.7333,-151.4333,29.12,76,100,3.76,PF,1712502133
142,bardai,11.65,7.2333,36.31,19,100,2.56,NG,1712502133
143,arraial do cabo,-22.9661,-42.0278,26.92,74,75,1.54,BR,1712501959
144,codrington,-38.2667,141.9667,10.75,92,0,3.61,AU,1712502134
145,oranjemund,-28.55,16.4333,16.95,75,6,5.39,NA,1712501977
146,ponte de sor,39.2496,-8.0101,21.65,49,79,3.4,PT,1712502134
147,ihosy,-22.4,46.1167,25.55,61,70,2.15,MG,1712502134
148,vadso,70.0744,29.7487,-2.51,80,100,5.66,NO,1712502134
149,los alamos,35.8881,-106.307,3.71,36,0,2.57,US,1712502135
150,vengerovo,55.6848,76.7471,-4.12,86,16,2.38,RU,1712502135
151,nemuro,43.3236,145.575,3.77,100,100,4.86,JP,1712502053
152,bac lieu,9.285,105.7244,28.99,71,87,4.59,VN,1712502136
153,prado,-17.3411,-39.2208,29.24,52,19,4.61,BR,1712502136
154,souillac,-20.5167,57.5167,27.21,89,40,0.0,MU,1712502136
155,inarajan village,13.2736,144.7484,27.54,89,40,7.79,GU,1712501963
156,beni,0.5,29.4667,18.61,99,100,0.48,CD,1712502137
157,sake,-1.5736,29.045,20.34,98,100,0.67,CD,1712501936
158,riviere-du-loup,47.8304,-69.5342,1.49,93,12,3.09,CA,1712502137
159,punta arenas,-53.15,-70.9167,7.06,61,20,11.83,CL,1712501395
160,lompoc,34.6391,-120.4579,10.99,63,0,3.6,US,1712502137
161,cambria,35.5641,-121.0808,7.34,91,40,0.45,US,1712502138
162,puerto rico,-26.796,-55.024,22.46,99,100,1.53,AR,1712502138
163,visakhapatnam,17.69,83.2093,29.94,70,2,3.09,IN,1712502009
164,port mathurin,-19.6833,63.4167,27.24,79,40,5.83,MU,1712501991
165,college,64.8569,-147.8028,-3.28,59,100,0.86,US,1712502139
166,booue,-0.0921,11.9385,29.14,76,86,0.97,GA,1712502139
167,bogale,16.2833,95.4,28.91,70,0,4.78,MM,1712502115
168,tofol,5.3248,163.0078,28.39,80,100,8.51,FM,1712502139
169,vila franca do campo,37.7167,-25.4333,18.27,99,90,7.39,PT,1712502140
170,kataba,13.9833,44.3833,20.67,44,79,2.71,YE,1712502140
171,plastun,44.7561,136.2939,4.33,65,38,1.46,RU,1712502140
172,pasni,25.2631,63.471,25.97,67,5,8.25,PK,1712502135
173,kodiak,57.79,-152.4072,0.73,86,100,3.6,US,1712501965
174,argostolion,38.1811,20.489,22.04,64,20,6.17,GR,1712502141
175,maceio,-9.6658,-35.7353,31.69,66,75,4.63,BR,1712501989
176,tafuna,-14.3358,-170.72,29.03,76,59,4.99,AS,1712502142
177,puerto lempira,15.2667,-83.7667,27.08,74,75,4.63,HN,1712502032
178,mejit,10.2753,170.8646,26.79,79,100,9.66,MH,1712502142
179,san jose del guaviare,2.5729,-72.6459,30.43,63,85,1.33,CO,1712502142
180,vernon,50.2581,-119.2691,3.58,71,4,4.63,CA,1712502032
181,merizo village,13.2658,144.6691,26.99,89,32,7.67,GU,1712502143
182,pimentel,-6.8367,-79.9342,25.16,69,0,1.54,PE,1712502143
183,gadzhiyevo,69.2551,33.3362,-4.16,83,100,3.56,RU,1712501981
184,rio casca,-20.2261,-42.6508,26.05,64,6,0.94,BR,1712502144
185,port alfred,-33.5906,26.891,20.38,81,100,12.6,ZA,1712502144
186,simplicio mendes,-7.8539,-41.9103,33.4,43,34,2.0,BR,1712502144
187,st. john's,47.5649,-52.7093,4.6,81,75,8.75,CA,1712501999
188,antsiranana,-12.2787,49.2917,29.42,70,40,5.14,MG,1712502145
189,ostersund,63.1792,14.6357,7.25,81,75,5.14,SE,1712501886
190,saynshand,44.8824,110.1163,10.51,51,100,2.61,MN,1712502145
191,vorkuta,67.5,64.0,-7.16,87,100,6.71,RU,1712502146
192,bonthe,7.5264,-12.505,30.79,63,79,4.62,SL,1712501973
193,malango,-2.9627,119.9001,20.45,99,100,0.88,ID,1712502146
194,peniche,39.3558,-9.3811,18.38,84,100,5.49,PT,1712502146
195,san luis de la loma,17.2706,-100.8939,29.72,41,0,1.83,MX,1712502147
196,dudinka,69.4058,86.1778,-7.4,94,100,9.39,RU,1712502147
197,mount pearl,47.5166,-52.7813,4.14,81,75,8.75,CA,1712501905
198,itoman,26.1247,127.6694,22.43,96,100,3.6,JP,1712502147
199,miri,4.4148,114.0089,28.08,89,40,1.54,MY,1712502072
200,koryazhma,61.3143,47.1691,2.17,74,99,2.8,RU,1712502097
201,palikir - national government center,6.9248,158.1611,27.67,78,98,7.29,FM,1712501994
202,arteche,12.2645,125.4048,24.23,84,13,1.52,PH,1712502148
203,bilibino,68.0546,166.4372,-18.53,100,100,1.1,RU,1712501976
204,juegang,32.3174,121.1855,9.03,90,100,4.21,CN,1712502063
205,tomatlan,19.9333,-105.25,27.15,32,96,0.78,MX,1712502149
206,sur,22.5667,59.5289,29.26,42,0,3.95,OM,1712502000
207,ozalp,38.6548,43.993,7.01,79,96,4.0,TR,1712502149
208,kapa'a,22.0752,-159.319,21.99,90,100,8.23,US,1712502150
209,pisco,-13.7,-76.2167,23.9,78,98,2.57,PE,1712502150
210,nhamunda,-2.1861,-56.7131,30.87,62,78,2.62,BR,1712502150
211,zelenoborskiy,66.845,32.3622,-3.24,90,100,3.1,RU,1712502150
212,labrador city,52.9463,-66.9114,-1.05,59,20,3.09,CA,1712502007
213,berdigestyakh,62.0989,126.6992,-18.61,100,95,1.51,RU,1712502097
214,daru,-9.0763,143.2092,27.72,83,99,2.43,PG,1712502151
215,hwange,-18.3693,26.5019,28.42,53,100,3.85,ZW,1712502151
216,lae,-6.7221,146.9847,24.2,89,100,2.72,PG,1712502151
217,sitka,57.0531,-135.33,5.94,61,100,7.2,US,1712501967
218,wailua homesteads,22.0669,-159.378,21.24,90,100,8.23,US,1712501989
219,taganrog,47.2362,38.8969,18.36,49,42,1.19,RU,1712502152
220,ceelbuur,4.685,46.6176,35.54,26,12,5.27,SO,1712502152
221,anloga,5.7947,0.8973,30.86,71,51,7.15,GH,1712502152
222,kili,5.6439,169.1211,27.77,82,79,10.16,MH,1712502153
223,bereket,39.2446,55.5154,24.14,23,100,3.44,TM,1712502153
224,badger,64.8,-147.5333,-3.33,85,100,1.11,US,1712502153
225,caieiras,-23.3642,-46.7406,27.73,60,75,4.12,BR,1712502036
226,san agustin de valle fertil,-30.6335,-67.4682,27.94,31,0,4.85,AR,1712502153
227,zhalantun,48.0,122.7167,-5.88,43,0,5.78,CN,1712502154
228,bay harbor,30.1471,-85.6146,21.63,67,43,2.68,US,1712502154
229,illapel,-31.6308,-71.1653,22.35,37,0,2.03,CL,1712502097
230,hadibu,12.65,54.0333,27.91,70,3,3.52,YE,1712501975
231,toamasina,-18.1667,49.3833,28.0,83,40,1.54,MG,1712502155
232,westport,41.1415,-73.3579,10.01,52,100,3.6,US,1712502146
233,nogliki,51.8333,143.1667,-0.37,80,0,2.24,RU,1712501998
234,monrovia,6.3005,-10.7969,33.87,73,99,3.55,LR,1712502096
235,gebeit,21.0667,36.3167,30.86,15,0,3.69,SD,1712502155
236,ghat,24.9647,10.1728,33.67,8,0,5.33,LY,1712502009
237,rahachow,53.0934,30.0495,13.62,66,100,2.52,BY,1712502156
238,susuman,62.7833,148.1667,-20.57,100,82,0.89,RU,1712502156
239,amga,60.8953,131.9608,-10.13,98,100,1.43,RU,1712502156
240,crane,31.3974,-102.3501,13.91,15,86,2.84,US,1712502157
241,baruun-urt,46.6806,113.2792,1.13,38,0,6.12,MN,1712502157
242,bredasdorp,-34.5322,20.0403,17.47,82,100,12.78,ZA,1712501965
243,deqen,29.9618,90.7188,3.13,13,41,4.33,CN,1712502147
244,gizo,-8.103,156.8419,26.85,85,100,7.17,SB,1712502158
245,suva,-18.1416,178.4415,25.11,87,82,3.69,FJ,1712502022
246,yeppoon,-23.1333,150.7333,22.88,89,96,2.42,AU,1712502158
247,dryden,49.7833,-92.7503,5.16,36,20,4.63,CA,1712502041
248,ust'-ordynskiy,52.805,104.7508,4.07,90,97,2.06,RU,1712502158
249,calvi,42.5,8.8333,18.35,49,0,3.6,FR,1712502159
250,lefkada,38.8275,20.7019,19.95,77,40,5.66,GR,1712502159
251,pizarro,4.9533,-77.366,28.6,80,94,1.91,CO,1712502159
252,dolores,-36.3132,-57.6792,24.16,48,0,4.36,AR,1712502159
253,mount gambier,-37.8333,140.7667,10.0,97,2,2.01,AU,1712502124
254,homer,59.6425,-151.5483,1.0,73,100,1.34,US,1712502012
255,vorgashor,67.5833,63.95,-7.33,87,100,6.28,RU,1712502160
256,alice springs,-23.7,133.8833,12.75,71,69,0.0,AU,1712501986
257,magong,23.5654,119.5863,22.28,99,99,5.14,TW,1712502135
258,ongjin,37.9347,125.3619,10.38,65,80,0.63,KP,1712502161
259,turkmenbasy,40.0222,52.9552,20.43,34,0,8.23,TM,1712502161
260,bihac,44.8169,15.8708,25.73,47,8,1.48,BA,1712501956
261,santa cruz,-17.8,-63.1667,29.03,74,75,7.2,BO,1712502068
262,kingston,17.997,-76.7936,33.98,61,20,1.54,JM,1712502055
263,laojunmiao,39.8333,97.7333,6.14,36,16,2.06,CN,1712502162
264,popondetta,-8.7537,148.2534,24.26,98,100,0.98,PG,1712501990
265,cabedelo,-6.9811,-34.8339,31.37,66,41,5.12,BR,1712502163
266,nadym,65.5333,72.5167,-4.46,80,100,13.5,RU,1712502163
267,ecoporanga,-18.3733,-40.8306,28.21,50,11,3.08,BR,1712502163
268,ormara,25.2088,64.6357,25.47,82,3,5.67,PK,1712502163
269,belmonte,-15.8631,-38.8828,29.03,53,0,5.27,BR,1712502163
270,keflavik,64.0049,-22.5624,2.95,60,75,13.89,IS,1712501984
271,bovril,-31.3431,-59.4451,21.62,82,64,4.25,AR,1712502164
272,letlhakeng,-24.0944,25.0298,25.07,48,100,8.67,BW,1712502105
273,bukama,-9.2,25.85,23.28,94,99,0.65,CD,1712502164
274,launceston,-41.45,147.1667,11.75,93,100,0.0,AU,1712501936
275,san julian,21.0167,-102.1667,19.75,31,30,2.06,MX,1712502165
276,kingscliff,-28.2667,153.5667,23.2,94,100,2.06,AU,1712502133
277,saint augustine beach,29.8505,-81.2654,21.72,52,0,3.6,US,1712502165
278,dzhangala,49.2167,50.3333,11.07,60,88,4.52,KZ,1712502165
279,cannonvale,-20.2833,148.7,25.66,91,3,4.13,AU,1712502091
280,farim,12.4839,-15.2217,43.35,10,82,1.3,GW,1712502166
281,hohhot,40.8106,111.6522,14.16,21,0,3.0,CN,1712502058
282,tolanaro,-25.0319,46.9987,27.04,83,40,2.06,MG,1712501968
283,xining,36.6167,101.7667,8.79,62,79,2.71,CN,1712502166
284,raduzhny,62.0961,77.475,-6.51,81,55,5.6,RU,1712502167
285,loango,-4.6719,11.8312,30.81,74,40,3.09,CG,1712502167
286,rio grande,-32.035,-52.0986,24.06,91,100,7.72,BR,1712502123
287,kohtla-jarve,59.3986,27.2731,9.7,80,100,8.42,EE,1712502167
288,rikaze,29.25,88.8833,5.54,12,0,2.94,CN,1712502001
289,mar del plata,-38.0023,-57.5575,25.61,60,0,5.66,AR,1712502006
290,upata,8.0086,-62.3989,29.55,40,93,4.19,VE,1712502168
291,yefremov,53.1481,38.0992,14.82,65,84,2.63,RU,1712502009
292,xinqing,48.2333,129.5,-6.7,74,100,5.91,CN,1712502168
293,georgetown,5.4112,100.3354,30.96,65,20,2.06,MY,1712501992
294,smithers,54.7804,-127.1743,-0.82,69,100,3.09,CA,1712501964
295,qamdo,31.1667,97.2333,0.04,76,86,3.44,CN,1712502117
296,novovarshavka,54.1721,74.6946,0.01,66,100,4.44,RU,1712502169
297,timbuktu,16.7735,-3.0074,41.69,6,78,2.07,ML,1712502169
298,coquimbo,-29.9533,-71.3436,13.85,100,100,1.03,CL,1712501435
299,ribeira brava,32.65,-17.0667,21.51,65,20,5.37,PT,1712502170
300,paita,-5.0892,-81.1144,24.0,70,72,3.98,PE,1712502106
301,bykovo,55.6361,38.0803,14.23,67,0,4.0,RU,1712502171
302,kirksville,40.1948,-92.5833,13.09,71,20,7.72,US,1712502011
303,aral,40.5156,81.2636,15.44,33,6,4.29,CN,1712502171
304,igbo-ukwu,6.0167,7.0265,35.17,36,82,2.36,NG,1712502171
305,shakhtinsk,49.71,72.5872,10.33,71,100,3.79,KZ,1712502171
306,la pesa,7.4954,-72.3818,17.06,51,88,2.72,VE,1712502172
307,conduaga,8.862,117.4893,25.73,78,83,1.06,PH,1712502172
308,minas de marcona,-15.2119,-75.1103,20.71,68,78,5.51,PE,1712501980
309,brisas de zicatela,15.8369,-97.0419,29.19,55,0,2.79,MX,1712501996
310,saint-philippe,-21.3585,55.7679,26.77,84,27,2.2,RE,1712501969
311,tangalle,6.024,80.7911,28.09,79,81,1.83,LK,1712501971
312,kermit,31.8576,-103.0927,12.91,16,0,4.12,US,1712502173
313,sawakin,19.1059,37.3321,28.28,69,47,5.77,SD,1712502173
314,yaren,-0.5472,166.916,27.86,82,100,5.4,NR,1712502173
315,khammam,17.25,80.15,32.69,30,47,5.26,IN,1712502174
316,praia da vitoria,38.7333,-27.0667,21.14,64,20,4.95,PT,1712502174
317,borogontsy,62.6683,131.1683,-14.59,100,98,1.79,RU,1712502098
318,tsiombe,-25.3,45.4833,23.68,86,74,4.58,MG,1712501971
319,tagta,41.6504,59.9164,22.97,28,0,3.09,TM,1712502175
320,lata,40.1629,-8.3327,19.95,54,100,4.88,PT,1712502176
321,bamboo flat,11.7,92.7167,29.05,79,20,1.03,IN,1712501968
322,tadine,-21.55,167.8833,23.15,84,97,4.4,NC,1712502127
323,kiunga,-6.1219,141.2906,24.01,100,100,1.16,PG,1712502177
324,enewetak,11.3474,162.3373,27.3,76,81,9.53,MH,1712502177
325,puerto aysen,-45.4,-72.7,10.44,79,31,2.46,CL,1712501993
326,jepelacio,-6.1167,-76.95,23.83,66,90,1.51,PE,1712501958
327,broken hill,-31.95,141.4333,15.98,46,73,3.06,AU,1712501959
328,alamosa,37.4695,-105.87,-1.01,37,0,1.54,US,1712502178
329,dunedin,-45.8742,170.5036,10.45,99,90,0.89,NZ,1712501893
330,esqueda,30.7167,-109.5833,9.57,25,0,1.53,MX,1712502179
331,saint-pierre,-21.3393,55.4781,26.82,83,20,4.12,RE,1712502179
332,quezon,7.7303,125.0989,20.48,84,9,2.61,PH,1712502180
333,qarauyl,48.9451,79.255,9.68,75,93,4.51,KZ,1712502180
334,kiamba,5.9894,124.6242,26.95,76,15,2.1,PH,1712502180
335,korla,41.7597,86.1469,16.18,26,83,1.29,CN,1712502030
336,piti village,13.4626,144.6933,27.16,83,13,7.04,GU,1712502181
337,ulsteinvik,62.3432,5.8487,10.5,72,100,7.15,NO,1712502181
338,zarghun shahr,32.8473,68.4457,15.69,22,0,2.14,AF,1712502182
339,stephenville,32.2207,-98.2023,18.85,20,0,4.63,US,1712502007
340,encarnacion,-27.3333,-55.9,25.02,78,75,4.12,PY,1712502024
341,pernio,60.2,23.1333,5.29,96,100,5.86,FI,1712502184
342,port-vila,-17.7338,168.3219,21.78,100,40,1.03,VU,1712502177
343,hasaki,35.7333,140.8333,17.38,93,91,3.43,JP,1712501981
344,emerald,-23.5333,148.1667,20.19,91,1,4.74,AU,1712502185
345,luanda,-8.8368,13.2343,33.0,79,75,4.12,AO,1712502124
346,maragogi,-9.0122,-35.2225,29.99,66,96,4.34,BR,1712502103
347,castro del rio,37.6912,-4.4806,26.63,51,63,2.61,ES,1712502186
348,tshabong,-26.05,22.45,27.89,40,7,11.59,BW,1712502186
349,kupjansk,49.7209,37.5998,17.93,48,92,2.79,UA,1712502186
350,ziro,27.6333,93.8333,12.3,86,100,1.17,IN,1712502005
351,cabo san lucas,22.8909,-109.9124,21.53,69,100,1.34,MX,1712501798
352,al abyar,32.19,20.5965,19.66,43,4,8.53,LY,1712502187
353,perelyub,51.8667,50.3667,7.25,84,100,2.8,RU,1712502188
354,la cruz,23.9167,-106.9,21.82,38,100,1.23,MX,1712502188
355,bantogon,6.5333,124.0333,27.96,82,20,1.2,PH,1712502188
356,mugia,43.1041,-9.2179,17.17,78,96,8.41,ES,1712501959
357,coron,11.9986,120.2043,25.65,87,56,2.29,PH,1712502189
358,utete,-7.986,38.758,25.93,95,98,2.13,TZ,1712502189
359,sola,-13.8833,167.55,27.58,81,100,7.84,VU,1712502190
360,kharan,28.5833,65.4167,28.49,8,0,3.82,PK,1712502190
361,owase,34.0667,136.2,13.81,89,100,1.14,JP,1712502190
362,aras-asan,8.8908,126.3033,24.92,81,38,1.18,PH,1712502190
363,colares,38.7992,-9.4469,19.55,80,20,5.81,PT,1712502105
364,brookings,44.3114,-96.7984,6.77,88,100,9.26,US,1712501976
365,kish,26.5578,54.0194,27.15,39,0,4.12,IR,1712502191
366,aykhal,66.0,111.5,-12.75,94,100,7.48,RU,1712502191
